"chrom","all_pval","ACP267_pval","NotACP267_pval"
"GBGJ01079488",0.0006709061,5.13014e-06,0.0006819648
"GBGJ01079490",0.4772669,1.779216e-54,0.4772669
"GBGJ01079493",0.00157816,3.65182e-05,0.001562669
"GBGJ01079505",1.182124e-05,0.1276944,1.244087e-05
"GBGJ01079525",0.008508093,6.641611e-24,0.008776714
"GBGJ01079544",0.4683675,1.003859e-12,0.4683675
"GBGJ01079549",6.943115e-08,0.02654158,5.997915e-08
"GBGJ01079593",5.613976e-07,0.06783126,5.847874e-07
"GBGJ01079597",7.419739e-11,4.223856e-06,2.817597e-11
"GBGJ01079619",8.517008e-05,0.01891909,0.0001047598
"GBGJ01079637",1.670327e-20,0.01781182,2.025856e-20
"GBGJ01079647",1.685206e-12,3.916332e-05,1.243218e-12
"GBGJ01079657",2.805627e-10,1.06716e-05,1.885825e-10
"GBGJ01079666",2.777391e-05,0.1054426,3.549134e-05
"GBGJ01079690",1.76857e-12,0.003864349,1.805448e-12
"GBGJ01079710",0.07131171,2.687528e-05,0.07131171
"GBGJ01079717",0.002828072,6.429683e-06,0.002495575
"GBGJ01079729",8.521875e-10,0.0004990892,6.82825e-10
"GBGJ01079739",3.415935e-06,1.005249e-05,2.219334e-06
"GBGJ01079745",0.003662179,9.366658e-06,0.00313907
"GBGJ01079750",0.006718094,4.496958e-08,0.006061265
"GBGJ01079754",0.1276944,2.251003e-06,0.1276944
"GBGJ01079807",2.424638e-09,1.347014e-09,1.754137e-09
"GBGJ01079819",5.243755e-09,0.01674057,7.054269e-09
"GBGJ01079838",1.141859e-07,0.03495446,9.583993e-08
"GBGJ01079847",5.357978e-05,2.302535e-06,7.231763e-05
"GBGJ01079905",0.001817542,9.052128e-08,0.001807897
"GBGJ01079907",4.153247e-08,8.535329e-11,1.425377e-08
"GBGJ01079918",5.256353e-08,0.2433946,6.462237e-08
"GBGJ01079969",2.133578e-18,0.2362532,2.583181e-18
"GBGJ01080013",9.517163e-06,0.0006417741,9.852334e-06
"GBGJ01080015",3.285997e-05,0.01696174,3.106228e-05
"GBGJ01080032",0.4772669,3.775e-49,0.4772669
"GBGJ01080034",5.316841e-07,2.279877e-09,2.977867e-07
"GBGJ01080035",0.008316295,2.974323e-06,0.008328626
"GBGJ01080048",0.05991173,1.024074e-05,0.05972717
"GBGJ01080052",6.283284e-05,0.02532391,6.362448e-05
"GBGJ01080071",0.02699768,1.451599e-05,0.02698731
